rank,proposal,score,essential_passed
1,thameslink,223.32,True
2,weaving_cross,198.75,True
3,holborn_star,197.84,True
4,national_hyperrail,155.33,True
5,goodrum,76.99,True
6,outer_city_railway,74.57,True
7,south_london_railway,16.63,True
