2,256,2
2,287,2
14,77,4
14,262,2
16,109,1
16,285,2
17,183,2
17,189,2
20,66,3
20,262,2
24,160,1
24,248,2
32,35,2
32,163,1
35,281,2
43,160,1
43,165,2
51,0,2
51,258,2
65,66,4
65,84,3
71,72,4
72,0,2
73,98,3
73,121,3
73,137,2
73,279,2
73,285,1
77,263,2
79,201,2
79,225,2
82,189,3
84,128,2
86,248,2
86,277,2
95,191,2
95,279,1
98,230,1
107,140,3
107,258,3
109,205,2
121,183,3
128,261,2
140,209,3
163,238,2
165,256,2
191,201,3
196,263,2
196,281,2
205,236,2
223,230,2
223,266,2
225,292,3
236,258,1
238,287,3
242,266,2
242,277,2
260,261,3
291,292,3
